,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
mai,,,,,,,,,,,,,,,,,,,,,,,,,"0,99","0,40","0,70","0,13","0,26","0,96","0,60","0,43",,,,,,,,,,,,,,,,
jun,,,,,,,,,,,,,,,,,,,,,,,,,"-0,06","0,50","-0,11","-0,07","0,31","0,91","0,42","-0,11",,,,,,,,,,,,,,,,
jul,,,,,,,,,,,,,,,,,,,,,,,,,"0,04","0,73","0,03","0,11","0,32","0,58","0,23","-0,07",,,,,,,,,,,,,,,,
ago,,,,,,,,,,,,,,,,,,,,,,,,,"0,18","0,50","0,00","-0,02","0,59","0,21","0,08","-0,07",,,,,,,,,,,,,,,,
set,,,,,,,,,,,,,,,,,,,,,,,,,"0,82","0,17","0,15","0,16","0,25","0,15","0,16","0,54",,,,,,,,,,,,,,,,
out,,,,,,,,,,,,,,,,,,,,,,,,,"0,39","0,17","0,58","0,43","0,30","0,50","0,24","0,92",,,,,,,,,,,,,,,,
nov,,,,,,,,,,,,,,,,,,,,,,,,,"0,37","0,44","0,54","0,42","0,43","0,38","0,37","1,03",,,,,,,,,,,,,,,,
dez,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,86","0,40","0,62","0,97","0,29","0,24","0,60",,,,,,,,,,,,,,,,
jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,94","0,51","0,92","0,63","1,48","1,51","0,42","0,23",,,,,,,,
fev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,54","0,39","0,52","0,64","1,16","0,95","0,24","0,18",,,,,,,,
mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,66","0,18","0,60","0,82","1,51","0,44","0,32","0,07",,,,,,,,
abr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,72","0,64","0,59","0,78","0,71","0,64","0,08","0,21",,,,,,,,
mai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,57","0,55","0,35","0,60","0,99","0,98","0,36","0,43",,,,,,,,
jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,22","0,26","0,28","0,26","0,77","0,47","-0,30","1,43",,,,,,,,
jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,43","-0,13","0,13","0,58","0,64","0,17","0,25",,,,,,,,
